datetime,open,high,low,close,volume,dividends,stock splits
2026-04-16 09:00:00+09:00,212000.0,213000.0,211500.0,212500.0,0,0.0,0.0
2026-04-16 09:05:00+09:00,212250.0,212500.0,211000.0,212000.0,451586,0.0,0.0
2026-04-16 09:10:00+09:00,212000.0,212500.0,211500.0,211500.0,303870,0.0,0.0
2026-04-16 09:15:00+09:00,212000.0,212500.0,211000.0,211250.0,315681,0.0,0.0
2026-04-16 09:20:00+09:00,211250.0,211500.0,210500.0,210500.0,414139,0.0,0.0
2026-04-16 09:25:00+09:00,211000.0,211500.0,210500.0,211500.0,232063,0.0,0.0
2026-04-16 09:30:00+09:00,211250.0,213000.0,211000.0,212500.0,302067,0.0,0.0
2026-04-16 09:35:00+09:00,212750.0,213500.0,212000.0,213000.0,400142,0.0,0.0
2026-04-16 09:40:00+09:00,213000.0,213500.0,212500.0,213500.0,174803,0.0,0.0
2026-04-16 09:45:00+09:00,213500.0,214000.0,213000.0,213500.0,305278,0.0,0.0
2026-04-16 09:50:00+09:00,214000.0,214500.0,213500.0,214000.0,440335,0.0,0.0
2026-04-16 09:55:00+09:00,214000.0,215000.0,214000.0,214750.0,401394,0.0,0.0
2026-04-16 10:00:00+09:00,214750.0,215000.0,214000.0,214250.0,282675,0.0,0.0
2026-04-16 10:05:00+09:00,214500.0,215000.0,214250.0,214750.0,230655,0.0,0.0
2026-04-16 10:10:00+09:00,214750.0,215000.0,214500.0,215000.0,266148,0.0,0.0
2026-04-16 10:15:00+09:00,214750.0,216000.0,214750.0,216000.0,599732,0.0,0.0
2026-04-16 10:20:00+09:00,216000.0,217000.0,215500.0,215750.0,645872,0.0,0.0
2026-04-16 10:25:00+09:00,215750.0,216000.0,215000.0,216000.0,232709,0.0,0.0
2026-04-16 10:30:00+09:00,215750.0,216000.0,215000.0,215250.0,196582,0.0,0.0
2026-04-16 10:35:00+09:00,215250.0,215500.0,214500.0,215250.0,250883,0.0,0.0
2026-04-16 10:40:00+09:00,215000.0,216000.0,215000.0,215750.0,219059,0.0,0.0
2026-04-16 10:45:00+09:00,215750.0,216000.0,215500.0,215500.0,138777,0.0,0.0
2026-04-16 10:50:00+09:00,215750.0,216500.0,215500.0,216250.0,392091,0.0,0.0
